Column1,id,autor,texto,shortCode,tipoInteracao,tipoMidia,idInteracao,idPai,URL,dataPublicada,dataInsercao,anomalia,probabilidadeAnomalia,processado,contemHyperlink
0,1,btgpactual,"Olá, Ana Paula! Como vai?

Sentimos muito pelo ocorrrido. Te enviamos uma mensagem privada para te ajudar com mais assertividade!",CkG9KXjpY2B,reply,REELS,17949834317264462,17988010663613927,https://www.instagram.com/p/CkG9KXjpY2B/c/17988010663613927/r/17949834317264462,2022-10-25 15:35:24,2022-10-25 21:52:54,-1,0,0,-1
1,2,btgpactual,"Olá, Rosana! Tudo bem?

Para te orientarmos com mais assertividade, pode contatar nosso suporte de renda variável pelos seguintes canais:

Ligando para: 4007-2511 para regiões metropolitanas e 0800-001-2511 para demais localidades, opção 3, para Renda Variável.

E-mail: atendimentoinvestimentosrv@btgpactualdigital.com

Chat: Pelo app acesse OI, SEU NOME > SUPORTE > CHAT. Pelo site clique em CHAT no canto inferior direito.

Qualquer dúvida estamos à disposição!",CkG9KXjpY2B,reply,REELS,17968362370910874,17955765434145877,https://www.instagram.com/p/CkG9KXjpY2B/c/17955765434145877/r/17968362370910874,2022-10-25 12:08:06,2022-10-25 21:52:54,-1,0,0,-1
2,3,btgpactual,@luizantoniojovinodossan 🚀 💙,CkG9KXjpY2B,reply,REELS,17968676113804345,17868806699792839,https://www.instagram.com/p/CkG9KXjpY2B/c/17868806699792839/r/17968676113804345,2022-10-25 08:16:15,2022-10-25 21:52:54,-1,0,0,-1
3,4,btgpactual,"@ronialencar Boa tarde! Tudo bem?

Lamentamos o ocorrido, tivemos uma instabilidade generalizada mas já foi solucionado. 

Qualquer dúvida, nos avise.        
Estamos aqui para te ajudar!",CkG9KXjpY2B,reply,REELS,18045922528372377,18327741553009776,https://www.instagram.com/p/CkG9KXjpY2B/c/18327741553009776/r/18045922528372377,2022-10-25 09:39:32,2022-10-25 21:52:55,-1,0,0,-1
4,5,btgpactual,"Oi, Nelson! Tudo bem?

Possuímos soluções completas para sua vida financeira, saiba mais sobre os benefícios de nosso cartão de crédito em nosso site no link: https://www.btgmais.com/cartao-de-credito/

Em caso de dúvidas, estamos à disposição!😉",CkG9KXjpY2B,reply,REELS,17864851241797946,18159475801266342,https://www.instagram.com/p/CkG9KXjpY2B/c/18159475801266342/r/17864851241797946,2022-10-25 09:38:38,2022-10-25 21:52:55,-1,0,0,-1
5,6,btgpactual,"@bastosroberio Olá,tudo bem?

Hoje cobramos uma corretagem regressiva que depende do número de ordens/contratos e do ativo que você operar. Como você pode verificar no link:

https://www.btgpactualdigital.com/b/custos

Analisando os serviços e a qualidade dos mesmos junto ao atendimento entregue, avaliamos que a corretagem é cobrada de forma justa. Estamos trabalhando para a cada dia melhorar e entregar mais funcionalidades, para auxiliá-lo nas operações em renda variável.

Qualquer dúvida, estamos à disposição!",CkG9KXjpY2B,reply,REELS,17936864405329104,17922908603504906,https://www.instagram.com/p/CkG9KXjpY2B/c/17922908603504906/r/17936864405329104,2022-10-25 09:40:35,2022-10-25 21:52:55,-1,0,0,-1
6,7,btgpactual,"@drmilior Olá! Tudo bem? 

Tem sim! Você pode começar a investir em ações ou outros ativos renda variável, acessando a aba HOME BROKER na sua área logada pelo computador ou baixar o aplicativo BTG Pactual Trader.

Além disso, você pode verificar o vídeo que gravamos com o Gustavo Cerbasi com mais informações a respeito: https://www.youtube.com/watch?v=2cMW123RT34

Para demais dúvidas sobre Renda Variável, nossa equipe estará disponível nos seguintes canais:

Nossos telefones são: 4007-2511 para regiões metropolitanas e 0800-001-2511 para demais localidades, opção 3, para Renda Variável.

E-mail: atendimentorv@btgpactualdigital.com

Em caso de dúvidas, seguimos à disposição!",CkG9KXjpY2B,reply,REELS,18016933294444436,17988361012608637,https://www.instagram.com/p/CkG9KXjpY2B/c/17988361012608637/r/18016933294444436,2022-10-25 09:37:43,2022-10-25 21:52:55,-1,0,0,-1
7,8,btgpactual,"@galdino.runner, agradecemos o seu feedback! Conte conosco! 💙",CkG9KXjpY2B,reply,REELS,17951026520271188,18005904001497494,https://www.instagram.com/p/CkG9KXjpY2B/c/18005904001497494/r/17951026520271188,2022-10-24 18:04:21,2022-10-25 21:52:56,-1,0,0,-1
8,9,btgpactual,"Olá, Roni! Tudo bem?

Hoje cobramos uma corretagem regressiva que depende do número de ordens/contratos e do ativo que você operar. Como você pode verificar no link: https://www.btgpactualdigital.com/b/custos

Analisando os serviços e a qualidade dos mesmos junto ao atendimento entregue, avaliamos que a corretagem é cobrada de forma justa. Estamos trabalhando para a cada dia melhorar e entregar mais funcionalidades, para auxiliá-lo nas operações em renda variável.

Qualquer dúvida, estamos à disposição!",CkG9KXjpY2B,reply,REELS,17872872965780335,17845248896858599,https://www.instagram.com/p/CkG9KXjpY2B/c/17845248896858599/r/17872872965780335,2022-10-24 18:03:21,2022-10-25 21:52:56,-1,0,0,-1
9,10,btgpactual,@thlimaoficial 💙 🚀,CkG9KXjpY2B,reply,REELS,18160982416248106,18000409306478035,https://www.instagram.com/p/CkG9KXjpY2B/c/18000409306478035/r/18160982416248106,2022-10-24 17:12:00,2022-10-25 21:52:56,-1,0,0,-1
10,11,matheusriosortodontia,@gustavopaulinno Realmente. Ja rodei por aí e observei q no quesito investimentos o @btgpactual é número um.,CkG9KXjpY2B,reply,REELS,17961352247055161,17983688287717831,https://www.instagram.com/p/CkG9KXjpY2B/c/17983688287717831/r/17961352247055161,2022-10-24 17:40:49,2022-10-25 21:52:56,-1,0,0,-1
11,12,btgpactual,@gustavopaulinno ficamos contentes em receber o seu elogio! 💙 🚀,CkG9KXjpY2B,reply,REELS,17930984063388927,17983688287717831,https://www.instagram.com/p/CkG9KXjpY2B/c/17983688287717831/r/17930984063388927,2022-10-24 17:12:55,2022-10-25 21:52:57,-1,0,0,-1
12,13,btgpactual,@diego_antunescf 💙 🚀,CkG9KXjpY2B,reply,REELS,17961428921013845,18033712537398863,https://www.instagram.com/p/CkG9KXjpY2B/c/18033712537398863/r/17961428921013845,2022-10-24 17:12:22,2022-10-25 21:52:57,-1,0,0,-1
13,14,erikacoimbra,👏👏👏,CkG9KXjpY2B,comment,REELS,17943066782219685,-,https://www.instagram.com/p/CkG9KXjpY2B/c/17943066782219685/,2022-10-25 19:13:45,2022-10-25 21:52:57,-1,0,0,-1
14,15,anapaulanakade,"O app está travando desde ontem, está em manutenção????",CkG9KXjpY2B,comment,REELS,17988010663613927,-,https://www.instagram.com/p/CkG9KXjpY2B/c/17988010663613927/,2022-10-25 12:54:54,2022-10-25 21:52:57,-1,0,0,-1
15,16,rosanakassar,"Abri uma conta, mas achei muito complicado investir em renda variável. APP confuso. Sai fora",CkG9KXjpY2B,comment,REELS,17955765434145877,-,https://www.instagram.com/p/CkG9KXjpY2B/c/17955765434145877/,2022-10-25 12:03:51,2022-10-25 21:52:58,-1,0,0,-1
16,17,luizantoniojovinodossan,👏,CkG9KXjpY2B,comment,REELS,17868806699792839,-,https://www.instagram.com/p/CkG9KXjpY2B/c/17868806699792839/,2022-10-25 00:30:31,2022-10-25 21:52:58,-1,0,0,-1
17,18,ronialencar,"Prezados, o app btg banking está fora do ar o dia todo. Dificuldando a nossa vida. Oq esta acontecendo?",CkG9KXjpY2B,comment,REELS,18327741553009776,-,https://www.instagram.com/p/CkG9KXjpY2B/c/18327741553009776/,2022-10-24 21:58:17,2022-10-25 21:52:58,-1,0,0,-1
18,19,calosjealous,Estou impressionada com o trabalho maravilhoso bem feito arrisquei dar uma chance de $300 e recebi um pagamento de $5.150 muito obrigado @jessica_allen_fxtrades,CkG9KXjpY2B,comment,REELS,17968507804814454,-,https://www.instagram.com/p/CkG9KXjpY2B/c/17968507804814454/,2022-10-24 21:36:16,2022-10-25 21:52:58,-1,0,0,-1
19,20,nelson.proteja,Alguém recomenda ter cartão com eles?,CkG9KXjpY2B,comment,REELS,18159475801266342,-,https://www.instagram.com/p/CkG9KXjpY2B/c/18159475801266342/,2022-10-24 21:30:45,2022-10-25 21:52:59,-1,0,0,-1
20,21,bastosroberio,"Qual o valor da taxa de corretagem, pois ainda não sei?",CkG9KXjpY2B,comment,REELS,17922908603504906,-,https://www.instagram.com/p/CkG9KXjpY2B/c/17922908603504906/,2022-10-24 19:44:40,2022-10-25 21:52:59,-1,0,0,-1
21,22,drmilior,Tem como aplicar também manual escolhe por ações,CkG9KXjpY2B,comment,REELS,17988361012608637,-,https://www.instagram.com/p/CkG9KXjpY2B/c/17988361012608637/,2022-10-24 19:02:36,2022-10-25 21:52:59,-1,0,0,-1
