Frase,Vetor1,Vetor2,Vetor3,Vetor4,Vetor5,Vetor6,Vetor7,Vetor8,Vetor9,Vetor10,Vetor11,Vetor12,Vetor13,Vetor14,Vetor15,Vetor16,Vetor17,Vetor18,Vetor19,Vetor20,Vetor21,Vetor22,Vetor23,Vetor24,Vetor25,Vetor26,Vetor27,Vetor28,Vetor29,Vetor30,Vetor31,Vetor32,Vetor33,Vetor34,Vetor35,Vetor36,Vetor37,Vetor38,Vetor39,Vetor40,Vetor41,Vetor42,Vetor43,Vetor44,Vetor45,Vetor46,Vetor47,Vetor48,Vetor49,Vetor50,sentimento
"['minuto', 'touro', 'ouro']",0.22910757,-0.51064104,-0.528357,-0.5396457,0.044240784,0.19061638,-0.31681153,-0.48130164,0.29266533,0.1526305,-0.45961404,0.26515996,-0.05220348,-0.085796215,-0.049852476,0.37809983,-0.07085674,-0.014800692,0.7372956,0.46885476,0.045156144,-0.24737602,-0.3045729,0.14534184,0.32823512,0.07935172,-0.051563878,-0.23825501,0.10765695,0.30258852,0.36685374,0.36156943,-0.29145965,-0.019522948,0.10385825,0.038887173,-0.5087907,0.30220395,0.36751187,-0.0013424798,0.25045884,-0.21732007,0.25704524,-0.19650215,-0.18153696,0.17270839,0.03027339,0.025029182,-0.025549343,-0.11457601,1
['sim'],0.08935891,-0.15770559,-0.38246724,-0.28815386,0.271361,0.18361595,-0.23001266,-0.48415607,0.10835749,0.12401358,-0.2934342,0.0056240326,0.023941105,-0.2543531,0.19986762,0.2762638,-0.08747129,0.11460221,0.5486168,0.5974559,-0.09046044,-0.33287033,-0.13499896,-0.22406876,0.19760832,0.02442058,-0.14201467,0.035353936,0.114484556,0.2984076,0.31126064,0.28360486,-0.2368944,0.2250591,0.006066233,-0.113935314,-0.55875313,0.37879106,0.33172554,0.19709645,0.3050072,-0.11393114,0.23985389,-0.08251526,-0.23445432,0.37760773,0.31387803,-0.05147023,-0.17552777,-0.10795174,0
"['queria', 'saber', 'banking', 'própria']",0.15829249,-0.29246393,-0.4634299,-0.30057612,0.062399607,0.15855089,-0.28768045,-0.4156874,0.14577681,0.15355383,-0.42000914,0.15182874,-0.01936628,-0.060756892,0.02583441,0.28595126,-0.065458156,0.012388595,0.6688087,0.53487843,-0.015628666,-0.21560685,-0.24356282,0.024142774,0.2614848,0.06945196,-0.14160958,-0.056319196,0.08090386,0.26996264,0.39919025,0.23144643,-0.2557689,0.053770192,0.037442412,-0.014092591,-0.53303283,0.34970915,0.28470883,0.07150945,0.22626035,-0.17691064,0.2290328,-0.097035736,-0.14479569,0.19825928,0.031118518,-0.05024517,-0.10766198,-0.1787096,1
[],-0.16015697,-0.18596035,-0.26729253,-0.66314507,0.53412396,0.04955481,-0.36627334,-0.36894763,-0.009451821,0.023264619,-0.3211028,-0.14305332,-0.056373112,-0.3717482,0.42296028,0.36046106,0.09585371,0.41523212,0.47077435,0.40114215,-0.02698252,-0.60473025,0.06018558,-0.48285866,0.27464503,0.22154477,-0.18801674,0.18466067,0.116275415,0.27651942,0.48284638,0.530788,-0.4254846,0.03666165,0.18137619,-0.028679475,-0.23917472,0.297724,0.34127873,0.3364424,0.73389876,-0.30474067,0.3393998,-0.062100198,-0.1589345,0.5612364,0.2866434,-0.03508971,-0.04558017,-0.12949939,0
"['palmas', 'palmas', 'palmas', 'palmas']",-0.14461625,0.11550993,-0.34394434,-0.16801506,0.16774794,0.18383592,-0.21094462,-0.3499121,0.08833106,0.17879869,-0.27787024,0.032344863,-0.009142287,-0.21446815,0.10740721,0.16068834,-0.108344175,0.16744742,0.3694803,0.6714991,-0.19577065,-0.24907081,-0.08655894,-0.045433875,0.035760716,0.03493916,-0.06691845,-0.016484212,0.034872003,0.28686816,0.3415725,0.14669973,-0.25626954,0.30823037,0.022501376,-0.066964045,-0.49868694,0.27080047,0.2650632,0.24701281,0.237319,-0.07157546,0.27435973,-0.13965848,-0.17106083,0.37471563,0.41020197,-0.11523366,-0.25434783,-0.28395906,0
"['vamos', 'ajudar', 'brasil', 'principal', 'categoria', 'automobilismo']",0.11125963,-0.2654764,-0.4460853,-0.3511109,0.040426806,0.17227103,-0.27169746,-0.43977967,0.19253261,0.14687797,-0.3859055,0.20068187,-0.02943492,-0.13021475,0.019435376,0.24992068,-0.05954923,-0.012249848,0.61507946,0.5492846,-0.051832184,-0.21250089,-0.21026966,0.073628135,0.19473085,0.06454026,-0.10459602,-0.09310436,0.08871322,0.30966866,0.32752803,0.24201795,-0.2546285,0.0906958,0.047714338,-0.030793024,-0.52128136,0.30287132,0.31279194,0.09347537,0.22556005,-0.13468358,0.25230378,-0.14984459,-0.18462108,0.19360593,0.11439613,-0.011874232,-0.11719014,-0.18190429,1
"['tanta', 'conta', 'digital', 'dando', 'baile', 'nestes', 'bancos', 'raios', 'continuam', 'hora', 'dar', 'escolha', 'feliz', 'carinhacomcoração', 'adeus', 'ruim', 'desde', 'sempre', 'nunca', 'vai', 'mudar']",0.16562143,-0.34720907,-0.4903558,-0.4064171,0.033090692,0.16529581,-0.29635173,-0.4652107,0.22977366,0.12876604,-0.42584324,0.21613388,-0.029765356,-0.11551213,0.023695862,0.3100894,-0.04903198,-0.026567096,0.7230221,0.55871433,0.004007827,-0.23836777,-0.263589,0.08486548,0.26649478,0.06491667,-0.12147597,-0.13271408,0.13787459,0.3065302,0.37869924,0.29303375,-0.25928396,0.056595042,0.075973466,-0.04340536,-0.555053,0.3457907,0.35945162,0.07445873,0.23124838,-0.17112234,0.28770593,-0.16269407,-0.20469724,0.17163867,0.086922556,-0.004019619,-0.096211396,-0.15820618,-1
"['instagram', 'deixa', 'publicar', 'imagens', 'então', 'conseguiram', 'colacar', 'reorganizar', 'layout', 'postar', 'imagem', 'fica', 'dica', 'galera']",0.16360272,-0.30043626,-0.48359796,-0.36090726,0.036173794,0.16279125,-0.27522573,-0.45503503,0.2125132,0.13518073,-0.42043903,0.2303752,-0.027801773,-0.120372295,0.026359797,0.2937026,-0.04154944,-0.015404638,0.67602396,0.53727674,-0.0015174794,-0.22809856,-0.24596594,0.07380984,0.24004309,0.067500226,-0.14925468,-0.112576626,0.12146757,0.32752335,0.34283307,0.2769969,-0.25317022,0.051381476,0.063143104,-0.0026205562,-0.54514176,0.33036846,0.33077186,0.05905234,0.23415324,-0.16089943,0.27495137,-0.1472774,-0.20198147,0.16990685,0.08183399,-0.017082216,-0.070622206,-0.15847063,0
['cadê'],0.1557049,-0.28945792,-0.34993595,-0.43070874,0.061890297,0.15948647,-0.2580908,-0.33564347,0.2369588,0.006369978,-0.29027876,0.10502433,-0.030468533,-0.17216496,0.052140236,0.20418102,0.067526795,-0.01267717,0.59392333,0.38645914,0.02074074,-0.3002823,-0.106806785,0.011380225,0.18130188,0.051250182,-0.10248357,0.024234941,0.11235841,0.32118154,0.32495275,0.24542361,-0.21175057,-0.05260588,0.09067421,-0.12148471,-0.42439985,0.27697843,0.28895155,0.17379981,0.26088697,-0.13409694,0.24577528,-0.12245035,-0.1519121,0.17563127,0.16548252,-0.0155091155,-0.1315196,-0.06494201,-1
"['aqui', 'apenas', 'mostrar', 'apreço', 'mulher', 'levou', 'zero', 'feliz', 'equipe', 'vencedora', 'sempre', 'mostrarei', 'gratidão', 'trabalharei', 'sempre']",0.1427442,-0.30544072,-0.47913137,-0.3723562,0.052915864,0.16274932,-0.280534,-0.45855853,0.21386586,0.15414867,-0.43389213,0.20316191,-0.035372917,-0.10178368,-0.006763846,0.31002995,-0.0809967,0.009788985,0.6855126,0.57917696,-0.022436889,-0.21256942,-0.26724702,0.09743737,0.24879612,0.06631154,-0.12606448,-0.14669207,0.12148693,0.2838547,0.38411936,0.28259194,-0.27626535,0.07373059,0.07534185,-0.042706165,-0.5388027,0.33976898,0.35928428,0.060734726,0.22069125,-0.18876006,0.26180875,-0.16981049,-0.20767649,0.17310084,0.09421792,-0.016088663,-0.09113899,-0.19187355,1
