Palavra,Frequência
palmas,2685
muitoengraçado,453
limite,418
conta,395
cartão,364
foguete,297
azul,260
melhor,258
agora,258
coração,244
nada,208
dinheiro,204
fogo,204
dia,193
sempre,190
bom,186
obrigado,183
tudo,180
fazer,180
app,179
vai,175
celebração,170
dias,170
ter,168
cliente,164
crédito,161
flu,160
todos,158
ainda,153
nunca,152
investimento,151
sobre,150
atendimento,150
investimentos,147
vou,144
pode,134
faz,132
bem,132
parabéns,130
pesquisa,128
aqui,128
tá,125
mim,120
pessoas,118
todo,115
quero,112
aí,110
hoje,106
boa,102
empresa,102
clientes,101
porque,101
recebi,101
vida,99
pois,97
saber,92
investir,91
assim,88
nojo,88
contato,86
realmente,86
mil,85
ver,83
demais,83
reais,83
fiz,82
corretora,82
pior,81
taxa,81
brasil,80
xpinvestimentos,78
bolsonaro,77
pix,77
bancos,76
fatura,76
valor,76
tão,76
vez,75
caso,74
retorno,74
apenas,73
vem,73
pagamento,72
ajuda,72
gente,72
abrir,71
vamos,71
posso,71
plataforma,71
deus,71
menos,70
vão,70
lula,70
péssimo,70
pro,70
antes,69
mês,69
algo,68
trabalho,68
muitoriso,68
nao,66
desde,66
sucesso,66
pesquisas,65
desse,65
r,65
outros,64
país,64
lucro,64
então,63
lá,63
favor,62
selic,62
consigo,61
onde,61
semana,61
cada,61
ajudar,60
coisa,60
quer,60
gostaria,60
grande,59
sendo,59
maior,59
tempo,59
sim,58
usar,58
aplicativo,58
ninguém,58
obrigada,57
vergonha,57
mercado,57
excelente,57
dar,57
fazendo,57
ano,57
parte,56
black,56
qualquer,56
incrível,56
hora,56
falta,55
fez,55
mundo,54
erro,54
meses,54
falar,54
vi,53
resposta,53
sei,52
dá,52
contas,52
chat,52
vezes,52
carteira,52
fluminense,52
tentando,52
direct,51
resolver,51
toda,50
queria,50
entrar,50
anos,50
todas,50
ficar,50
outro,50
dessa,49
nesse,49
compra,49
outra,48
time,48
ótimo,47
porém,47
recomendo,47
absurdo,47
comigo,46
entender,46
cara,46
acho,45
tô,45
verdade,45
novamente,45
preciso,45
além,45
pagar,44
mesma,44
investi,44
ja,44
ações,43
povo,43
novo,43
renda,43
feliz,43
uso,42
processo,42
forma,42
após,42
assessor,42
pouco,42
corretagem,42
sabe,42
suporte,41
governo,41
ordem,41
ficou,41
nome,41
dizer,41
experiência,41
nenhum,41
fica,41
problemas,41
melhores,41
itau,40
pago,40
alguém,40
difícil,39
apaixonado,39
mensagem,39
aconteceu,39
poder,39
primeiro,39
informações,39
jeito,39
pessoa,38
faço,38
cancelar,38
ontem,38
né,38
assessoria,38
sair,37
presidente,37
to,37
xp,37
reduziram,36
feito,36
possível,36
começar,36
pt,36
economia,36
top,36
valores,36
duas,36
digital,36
quanto,36
tirar,36
família,35
motivo,35
abri,35
simples,35
btgpactualempresas,34
equipe,34
faturas,34
página,34
acredito,34
existe,34
infelizmente,34
precisa,34
simplesmente,34
trader,34
frente,33
us,33
deu,33
deram,33
igual,33
comprar,33
cdb,33
diz,33
receber,33
site,33
fiquei,33
real,33
tarde,32
acesso,32
positivo,32
alegria,32
mandei,32
aviso,32
algum,31
totalmente,31
nubank,31
pensando,31
paguei,31
inflação,30
logo,30
tbm,30
fazem,30
muita,30
alto,30
ganhei,30
tipo,30
guedes,30
sistema,30
podem,30
certo,30
fala,30
ruim,30
olá,30
bradesco,30
show,29
zero,29
nenhuma,29
outras,29
taxas,29
olha,29
alguma,29
falando,29
quase,29
junto,29
super,29
dizem,28
deveria,28
instituição,28
dúvida,28
credibilidade,28
sido,28
pessoal,28
confiança,28
tanto,28
qualidade,27
pagando,27
volta,27
prejuízo,27
limites,27
dão,27
fizeram,27
consegue,27
certeza,27
pequeno,27
esperando,27
espero,27
fúria,27
contra,27
dando,27
tentar,27
ai,27
deixar,27
link,27
alta,26
funciona,26
comecei,26
perfil,26
colocar,26
mulher,26
horrível,26
paulo,26
anuidade,26
alguns,26
passar,25
conseguir,25
amigo,25
lugar,25
casa,25
diminuíram,25
total,25
consegui,25
cadê,25
análise,25
tarcísio,25
foto,25
sorte,25
trabalhar,25
empresas,25
ação,25
realidade,25
hj,25
importante,25
juros,24
banking,24
linda,24
achei,24
comentários,24
opção,24
principal,24
através,24
serviço,24
esquerda,24
sério,24
aumento,24
financeira,24
detalhe,24
noite,24
sensacional,24
história,24
bora,24
mudou,24
email,24
central,24
and,24
etc,24
muitos,24
oi,24
querem,24
preço,23
sorriso,23
produtos,23
graças,23
acabei,23
nessa,23
parece,23
chegou,23
kkkkk,23
negociação,23
beijo,23
empréstimo,23
evento,23
haddad,23
palavras,23
the,23
prazo,22
solução,22
deve,22
obtive,22
segundo,22
dois,22
mudar,22
cartões,22
tentei,22
propaganda,22
política,22
várias,22
operações,22
so,22
relação,22
bons,22
ruas,22
ganhar,22
projeto,22
orgulho,22
redução,22
usando,21
fato,21
brasileiro,21
ótima,21
forevercapitalbr,21
suficiente,21
cuidado,21
atrasei,21
existem,21
investidores,21
cdi,21
post,21
movimento,21
negócios,21
causa,21
perder,21
surpresa,21
rosto,21
poderia,21
ir,21
grato,21
decisão,21
uns,21
financeiro,21
la,21
baixo,21
cima,21
depositei,21
chama,21
explicar,21
trade,21
telefone,21
enviar,20
vários,20
continuar,20
fácil,20
segurança,20
diligência,20
fundo,20
possa,20
diferente,20
capital,20
dm,20
via,20
vale,20
situação,20
mal,20
nesta,20
melhorar,20
diminuir,20
exatamente,20
horas,20
vídeo,20
explicação,19
maravilhado,19
semanas,19
aprovando,19
kkkk,19
investindo,19
normal,19
visto,19
lindo,19
débito,19
ativos,19
gerente,19
ta,19
neste,19
oportunidade,19
hein,19
próprio,19
milhões,19
enquanto,19
atenção,19
efeito,19
risco,19
disso,19
menor,19
momento,19
comentário,18
acessos,18
prévio,18
transferência,18
iof,18
passando,18
venderam,18
contar,18
mínimo,18
atualização,18
exemplo,18
perdendo,18
bilhões,18
tendo,18
you,18
nova,18
aguardando,18
respeito,18
paga,18
benefícios,18
responde,18
grandes,18
medo,18
inclusive,18
piada,17
iniciativa,17
direito,17
feita,17
dados,17
interesse,17
ordens,17
confiabilidade,17
caro,17
durante,17
legal,17
inter,17
msg,17
chega,17
rua,17
aprecio,17
responder,17
maravilhoso,17
dentro,17
troca,17
ponto,17
pontos,17
resultado,17
decepção,17
lucros,17
estado,17
interessante,17
deixa,17
disse,17
corrente,17
questão,17
reclamação,17
coisas,17
problema,17
claro,17
descaso,16
brincadeira,16
dúvidas,16
vencimento,16
informação,16
acessar,16
opinião,16
senhora,16
ideia,16
bancodobrasil,16
impossível,16
aumentar,16
última,16
agradeço,16
querendo,16
enviei,16
passei,16
investidor,16
disponível,16
algumas,16
conseguindo,16
bosta,16
recebo,16
dizendo,16
baixa,16
amigos,16
transferir,16
continue,16
dólar,16
feio,16
fico,16
los,16
liberou,15
errado,15
esforços,15
celular,15
lamentável,15
apaixonadoapaixonado,15
avisar,15
parceria,15
confiável,15
acontecendo,15
entrei,15
reclame,15
operar,15
veio,15
futuro,15
muitas,15
pedir,15
en,15
segunda,15
grupo,15
sac,15
irei,15
tiraram,15
passo,15
caiu,15
sabem,15
praticamente,15
golpe,15
diminuiu,15
negócio,15
programa,15
precisar,15
pedi,15
retirar,15
boas,15
primeira,15
serviços,15
perdi,15
brasileiros,15
robertosallouti,15
si,15
número,15
sala,14
testar,14
encerrar,14
mão,14
amor,14
dessas,14
triste,14
viu,14
d,14
merece,14
seguir,14
conteúdo,14
cobrir,14
gostei,14
transparência,14
compartilhar,14
somente,14
candidato,14
lado,14
longo,14
gasto,14
custódia,14
liberar,14
ganha,14
amanhã,14
maravilhosa,14
prazer,14
quais,14
choro,14
juntos,14
responsabilidade,14
cobrança,14
digitais,14
my,14
passou,14
alvo,14
atitude,14
deveriam,14
maioria,14
livre,14
único,14
complicado,14
acima,14
completamente,14
função,14
cadastro,14
usei,14
dose,14
bancointer,14
indico,14
bitcoin,14
amo,14
maiores,14
passa,14
fã,13
abre,13
sentir,13
variável,13
tantas,13
apoia,13
péssima,13
olho,13
poderiam,13
investido,13
papel,13
portabilidade,13
últimas,13
research,13
indicação,13
call,13
informar,13
day,13
inicial,13
números,13
conseguiu,13
reduzido,13
relacionamento,13
negativa,13
final,13
spread,13
vejo,13
fluzão,13
seguro,13
legítimo,13
águas,13
digio,13
pensa,13
subir,13
senha,13
decepcionado,13
tb,13
acreditar,13
alô,13
honestidade,13
data,13
pj,13
justiça,13
digo,13
vender,13
cashback,13
fim,13
abraço,13
online,13
américa,13
bb,13
querer,12
diariamente,12
reidasutileza,12
deixou,12
eleitoral,12
enganosa,12
resultados,12
única,12
homem,12
papeis,12
