Palavra,Frequência
'banco',475
'limite',363
'conta',319
'cartão',310
'melhor',228
'agora',218
'sempre',181
'fazer',172
'vai',172
'dinheiro',168
'ter',166
'obrigado',161
'flu',152
'tudo',149
'nunca',148
'sobre',146
'todos',145
'dia',143
'app',142
'ainda',142
'vou',141
'bom',139
'nada',132
'pode',131
'faz',126
'atendimento',124
'dias',123
'investimento',117
'crédito',116
'tá',115
'investimentos',112
'quero',110
'bem',109
'cliente',107
'pessoas',105
'parabéns',104
'todo',103
'recebi',100
'aqui',100
'pesquisa',100
'porque',98
'mim',97
'pois',95
'boa',94
'empresa',93
'aí',89
'hoje',87
'realmente',83
'saber',83
'ver',80
'mil',79
'taxa',78
'fiz',78
'contato',77
'tão',76
'investir',75
'clientes',74
'apenas',73
'pior',72
'assim',72
'abrir',71
'valor',71
'posso',71
'pro',70
'vem',69
'vida',69
'pix',69
'vão',68
'vamos',66
'desde',66
'bancos',64
'ajuda',64
'vez',64
'pagamento',64
'nao',64
'desse',63
'algo',62
'caso',62
'bolsonaro',62
'deus',61
'fatura',60
'onde',60
'menos',60
'cada',60
'sendo',59
'gostaria',59
'retorno',59
'plataforma',58
'antes',57
'trabalho',57
'reais',57
'maior',57
'dar',57
'fazendo',56
'qualquer',56
'então',55
'brasil',55
'grande',55
'mês',55
'outros',55
'consigo',54
'hora',54
'gente',54
'quer',54
'corretora',53
'pesquisas',53
'fez',53
'ninguém',52
'usar',52
'parte',52
'semana',52
'péssimo',51
'vi',51
'falta',51
'tentando',51
'lula',50
'ficar',50
'selic',50
'dá',50
'toda',49
'sei',49
'black',48
'dessa',48
'nesse',48
'todas',48
'lucro',47
'fluminense',47
'entrar',47
'contas',46
'falar',46
'coisa',46
'lá',45
'tempo',45
'compra',45
'queria',45
'tô',45
'investi',44
'ja',44
'acho',44
'preciso',44
'ajudar',44
'além',43
'outro',43
'resposta',43
'mesma',42
'outra',42
'entender',42
'excelente',42
'ano',41
'sucesso',41
'carteira',41
'após',41
'pagar',41
'ficou',41
'recomendo',41
'vergonha',41
'erro',41
'aplicativo',40
'pouco',40
'obrigada',40
'chat',40
'pago',39
'porém',39
'alguém',39
'vezes',39
'mundo',39
'assessor',39
'uso',38
'time',38
'fica',38
'experiência',38
'resolver',38
'sabe',38
'nenhum',37
'favor',37
'ordem',37
'povo',37
'mercado',36
'quanto',36
'sair',36
'faço',36
'processo',36
'poder',36
'cara',36
'to',36
'cancelar',36
'dizer',36
'duas',35
'renda',35
'reduziram',35
'abri',35
'primeiro',35
'meses',35
'anos',35
'mensagem',35
'demais',34
'precisa',33
'incrível',33
'infelizmente',33
'difícil',33
'nome',33
'tirar',33
'governo',33
'fiquei',33
'acredito',33
'receber',32
'corretagem',32
'forma',32
'ontem',32
'novamente',32
'melhores',32
'deu',32
'diz',32
'pessoa',32
'ações',32
'mandei',32
'assessoria',32
'ótimo',31
'paguei',31
'simplesmente',31
'us',31
'cdb',31
'possível',31
'problemas',31
'muita',30
'alegria',30
'aconteceu',30
'jeito',30
'deram',30
'podem',30
'totalmente',30
'suporte',30
'equipe',30
'quase',29
'ganhei',29
'feito',29
'site',29
'absurdo',29
'super',29
'sim',29
'país',29
'existe',28
'informações',28
'fazem',28
'outras',28
'feliz',28
'olha',28
'algum',28
'comprar',28
'igual',28
'pt',27
'dão',27
'fizeram',27
'deveria',27
'deixar',27
'junto',27
'valores',27
'falando',27
'aviso',27
'tanto',27
'sido',27
'tipo',27
'espero',27
'contra',27
'ruim',27
'dando',27
'sistema',27
'faturas',27
'direct',26
'show',26
'motivo',26
'nenhuma',26
'colocar',26
'pagando',26
'acesso',26
'top',26
'dizem',26
'paulo',26
'alguns',26
'verdade',26
'fala',26
'link',25
'novo',25
'simples',25
'sorte',25
'esperando',25
'diminuíram',25
'digital',25
'mulher',25
'consegue',25
'pequeno',25
'frente',25
'começar',25
'conseguir',25
'consegui',24
'foto',24
'passar',24
'trabalhar',24
'tentar',24
'página',24
'comecei',24
'através',24
'presidente',24
'alguma',24
'muitos',24
'limites',24
'comigo',23
'the',23
'juros',23
'chegou',23
'and',23
'certeza',23
'achei',23
'empresas',23
'cadê',23
'bora',23
'xp',23
'economia',23
'graças',23
'nessa',23
'logo',23
'produtos',23
'instituição',23
'ai',22
'volta',22
'deve',22
'perfil',22
'várias',22
'tentei',22
'obtive',22
'parece',22
'trader',22
'querem',22
'aumento',22
'acabei',22
'relação',22
'segundo',21
'opção',21
'credibilidade',21
'pessoal',21
'causa',21
'poderia',21
'decisão',21
'uns',21
'depositei',21
'ação',21
'tarcísio',21
'so',21
'chama',21
'confiança',21
'tbm',21
'real',21
'kkkkk',21
'redução',21
'análise',21
'perder',21
'mudou',21
'orgulho',20
'mudar',20
'dois',20
'bons',20
'existem',20
'nesta',20
'usando',20
'guedes',20
'vários',20
'diligência',20
'casa',20
'dúvida',20
'possa',20
'serviço',20
'hj',20
'movimento',20
'cartões',20
'via',20
'família',19
'fundo',19
'história',19
'solução',19
'qualidade',19
'visto',19
'grato',19
'total',19
'la',19
'próprio',19
'rosto',19
'ganhar',19
'projeto',19
'diminuir',19
'alto',19
'inflação',19
'neste',19
'enviar',19
'propaganda',19
'ta',19
'aprovando',19
'capital',18
'acessos',18
'inclusive',18
'venderam',18
'preço',18
'continuar',18
'horrível',18
'perdendo',18
'enquanto',18
'empréstimo',18
'vale',18
'investindo',18
'explicar',18
'ótima',18
'taxas',18
'gerente',18
'you',18
'comentários',18
'tendo',18
'grandes',18
'confiabilidade',17
'certo',17
'deixa',17
'linda',17
'menor',17
'ir',17
'né',17
'msg',17
'lugar',17
'operações',17
'zero',17
'durante',17
'evento',17
'haddad',17
'atrasei',17
'ativos',17
'suficiente',17
'investidores',17
'passando',17
'prejuízo',17
'contar',17
'política',17
'banking',17
'principal',17
'central',17
'cima',17
'importante',17
'coisas',16
'última',16
'fico',16
'aguardando',16
'sério',16
'acessar',16
'vídeo',16
'direito',16
'dentro',16
'passei',16
'disse',16
'pontos',16
'decepção',16
'paga',16
'efeito',16
'comentário',16
'maravilhoso',16
'amigo',16
'fato',16
'financeira',16
'continue',16
'aprecio',16
'post',16
'melhorar',16
'los',16
'algumas',16
'enviei',16
'bilhões',16
'recebo',16
'transferência',16
'lindo',16
'querendo',16
'milhões',15
'dados',15
'número',15
'situação',15
'nova',15
'mínimo',15
'ruas',15
'troca',15
'reclame',15
'transferir',15
'entrei',15
'anuidade',15
'liberou',15
'opinião',15
'esforços',15
'estado',15
'veio',15
'semanas',15
'primeira',15
'boas',15
'chega',15
'dm',15
'benefícios',15
'fácil',15
'mal',15
'praticamente',15
'retirar',15
'alta',15
'en',15
'irei',15
'muitas',15
'brasileiro',15
'sabem',15
'encerrar',14
'iof',14
'horas',14
'sensacional',14
'reclamação',14
'compartilhar',14
'descaso',14
'risco',14
'lucros',14
'passa',14
'longo',14
'telefone',14
'sorriso',14
'prazer',14
'brincadeira',14
'pedir',14
'dose',14
'passo',14
'segunda',14
'feita',14
'grupo',14
'my',14
'ordens',14
'exemplo',14
'respeito',14
'momento',14
'precisar',14
'deveriam',14
'responder',14
'oportunidade',14
'somente',14
'dizendo',14
'segurança',14
'candidato',14
'testar',14
'interessante',14
'sala',14
'negócios',14
'responde',14
'conseguindo',14
'tiraram',14
'caiu',14
'cobrir',14
'amo',14
'digo',13
'vejo',13
'senhora',13
'kkkk',13
'inicial',13
'negócio',13
'ponto',13
'últimas',13
'sentir',13
'honestidade',13
'informar',13
'abre',13
'amigos',13
'programa',13
'pensando',13
'indicação',13
'débito',13
'parceria',13
'serviços',13
'dúvidas',13
'custódia',13
'aumentar',13
'informação',13
'problema',13
'palavras',13
'quais',13
'medo',13
'questão',13
'liberar',13
'alvo',13
'diminuiu',13
'merece',13
'atenção',13
'esquerda',13
'd',13
'surpresa',13
'tantas',13
'gostei',13
'apoia',13
'américa',13
'inter',13
'disponível',13
'conseguiu',13
'diferente',13
'day',13
'poderiam',13
'interesse',13
'cuidado',13
'atualização',13
'realidade',13
'exatamente',12
'indico',12
'portabilidade',12
'funciona',12
'ideia',12
'rico',12
'cobrança',12
'normal',12
'bitcoin',12
'final',12
'acreditar',12
'olá',12
'realizar',12
'acima',12
'tarde',12
'homem',12
'aprovação',12
'data',12
'agradeço',12
'email',12
'cdi',12
'golpe',12
'trade',12
'seguir',12
'deixou',12
