Column1,id,autor,texto,shortCode,tipoInteracao,tipoMidia,idInteracao,idPai,URL,dataPublicada,dataInsercao,anomalia,probabilidadeAnomalia,processado,contemHyperlink
4,5,    ,"Oi, Nelson! Tudo bem?

Possuímos soluções completas para sua vida financeira, saiba mais sobre os benefícios de nosso cartão de crédito em nosso site no link: https://www.btgmais.com/cartao-de-credito/

Em caso de dúvidas, estamos à disposição!😉",CkG9KXjpY2B,reply,REELS,17864851241797946,18159475801266342,https://www.instagram.com/p/CkG9KXjpY2B/c/18159475801266342/r/17864851241797946,2022-10-25 09:38:38,2022-10-25 21:52:55,-1.0,0.0,0.0,-1.0
10,11,matheusriosortodontia,@gustavopaulinno Realmente. Ja rodei por aí e observei q no quesito investimentos o @btgpactual é número um.,CkG9KXjpY2B,reply,REELS,17961352247055161,17983688287717831,https://www.instagram.com/p/CkG9KXjpY2B/c/17983688287717831/r/17961352247055161,2022-10-24 17:40:49,2022-10-25 21:52:56,-1.0,0.0,0.0,-1.0
13,14,erikacoimbra,👏👏👏,CkG9KXjpY2B,comment,REELS,17943066782219685,-,https://www.instagram.com/p/CkG9KXjpY2B/c/17943066782219685/,2022-10-25 19:13:45,2022-10-25 21:52:57,-1.0,0.0,0.0,-1.0
14,15,anapaulanakade,"O app está travando desde ontem, está em manutenção????",CkG9KXjpY2B,comment,REELS,17988010663613927,-,https://www.instagram.com/p/CkG9KXjpY2B/c/17988010663613927/,2022-10-25 12:54:54,2022-10-25 21:52:57,-1.0,0.0,0.0,-1.0
15,16,rosanakassar,"Abri uma conta, mas achei muito complicado investir em renda variável. APP confuso. Sai fora",CkG9KXjpY2B,comment,REELS,17955765434145877,-,https://www.instagram.com/p/CkG9KXjpY2B/c/17955765434145877/,2022-10-25 12:03:51,2022-10-25 21:52:58,-1.0,0.0,0.0,-1.0
16,17,luizantoniojovinodossan,👏,CkG9KXjpY2B,comment,REELS,17868806699792839,-,https://www.instagram.com/p/CkG9KXjpY2B/c/17868806699792839/,2022-10-25 00:30:31,2022-10-25 21:52:58,-1.0,0.0,0.0,-1.0
17,18,ronialencar,"Prezados, o app btg banking está fora do ar o dia todo. Dificuldando a nossa vida. Oq esta acontecendo?",CkG9KXjpY2B,comment,REELS,18327741553009776,-,https://www.instagram.com/p/CkG9KXjpY2B/c/18327741553009776/,2022-10-24 21:58:17,2022-10-25 21:52:58,-1.0,0.0,0.0,-1.0
18,19,calosjealous,Estou impressionada com o trabalho maravilhoso bem feito arrisquei dar uma chance de $300 e recebi um pagamento de $5.150 muito obrigado @jessica_allen_fxtrades,CkG9KXjpY2B,comment,REELS,17968507804814454,-,https://www.instagram.com/p/CkG9KXjpY2B/c/17968507804814454/,2022-10-24 21:36:16,2022-10-25 21:52:58,-1.0,0.0,0.0,-1.0
19,20,nelson.proteja,Alguém recomenda ter cartão com eles?,CkG9KXjpY2B,comment,REELS,18159475801266342,-,https://www.instagram.com/p/CkG9KXjpY2B/c/18159475801266342/,2022-10-24 21:30:45,2022-10-25 21:52:59,-1.0,0.0,0.0,-1.0
20,21,bastosroberio,"Qual o valor da taxa de corretagem, pois ainda não sei?",CkG9KXjpY2B,comment,REELS,17922908603504906,-,https://www.instagram.com/p/CkG9KXjpY2B/c/17922908603504906/,2022-10-24 19:44:40,2022-10-25 21:52:59,-1.0,0.0,0.0,-1.0
21,22,drmilior,Tem como aplicar também manual escolhe por ações,CkG9KXjpY2B,comment,REELS,17988361012608637,-,https://www.instagram.com/p/CkG9KXjpY2B/c/17988361012608637/,2022-10-24 19:02:36,2022-10-25 21:52:59,-1.0,0.0,0.0,-1.0
22,23,galdino.runner,"Eu sou muito exigente mas esse banco me superou, nunca pedi nada e me liberaram cartão com limite ótimo, tudo perfeito...",CkG9KXjpY2B,comment,REELS,18005904001497494,-,https://www.instagram.com/p/CkG9KXjpY2B/c/18005904001497494/,2022-10-24 17:42:41,2022-10-25 21:52:59,-1.0,0.0,0.0,-1.0
23,24,ronisantos180,Tá faltando zerar a corretagens em ações aí fica top,CkG9KXjpY2B,comment,REELS,17845248896858599,-,https://www.instagram.com/p/CkG9KXjpY2B/c/17845248896858599/,2022-10-24 17:29:20,2022-10-25 21:53:00,-1.0,0.0,0.0,-1.0
24,25,thlimaoficial,💙,CkG9KXjpY2B,comment,REELS,18000409306478035,-,https://www.instagram.com/p/CkG9KXjpY2B/c/18000409306478035/,2022-10-24 16:56:43,2022-10-25 21:53:00,-1.0,0.0,0.0,-1.0
