Palavra,Frequência
banco,475
btg,408
pra,386
limite,363
conta,319
cartão,310
melhor,228
agora,218
sempre,181
fazer,172
vai,172
dinheiro,168
ter,166
vcs,164
obrigado,161
flu,152
tudo,149
nunca,148
sobre,146
todos,145
dia,143
app,142
ainda,142
vou,141
bom,139
nada,132
pode,131
faz,126
atendimento,124
dias,123
q,117
investimento,117
crédito,116
tá,115
investimentos,112
quero,110
bem,109
cliente,107
pessoas,105
parabéns,104
todo,103
aqui,100
pesquisa,100
recebi,100
porque,98
mim,97
pois,95
boa,94
empresa,93
aí,89
hoje,87
realmente,83
saber,83
ver,80
mil,79
fiz,78
taxa,78
contato,77
tão,76
investir,75
clientes,74
apenas,73
pq,73
assim,72
pior,72
valor,71
abrir,71
posso,71
vc,70
pro,70
vem,69
pix,69
vida,69
vão,68
vamos,66
desde,66
bancos,64
ajuda,64
nao,64
pagamento,64
vez,64
desse,63
bolsonaro,62
algo,62
caso,62
deus,61
onde,60
fatura,60
cada,60
menos,60
gostaria,59
sendo,59
retorno,59
plataforma,58
reais,57
trabalho,57
antes,57
maior,57
dar,57
fazendo,56
qualquer,56
grande,55
então,55
mês,55
outros,55
brasil,55
consigo,54
gente,54
quer,54
hora,54
pesquisas,53
corretora,53
fez,53
i,53
ninguém,52
parte,52
usar,52
semana,52
falta,51
péssimo,51
tentando,51
vi,51
ficar,50
dá,50
lula,50
selic,50
toda,49
sei,49
todas,48
dessa,48
nesse,48
black,48
lucro,47
entrar,47
fluminense,47
falar,46
contas,46
coisa,46
compra,45
queria,45
tempo,45
tô,45
lá,45
acho,44
ja,44
ajudar,44
preciso,44
investi,44
além,43
outro,43
resposta,43
mesma,42
outra,42
entender,42
excelente,42
carteira,41
após,41
vergonha,41
ano,41
ficou,41
erro,41
sucesso,41
recomendo,41
pagar,41
aplicativo,40
p,40
chat,40
obrigada,40
pouco,40
assessor,39
mundo,39
pago,39
alguém,39
porém,39
vezes,39
resolver,38
uso,38
sabe,38
experiência,38
fica,38
time,38
favor,37
povo,37
ordem,37
nenhum,37
dizer,36
to,36
mercado,36
poder,36
faço,36
sair,36
cara,36
cancelar,36
quanto,36
processo,36
renda,35
duas,35
abri,35
reduziram,35
primeiro,35
mensagem,35
meses,35
anos,35
demais,34
incrível,33
tirar,33
precisa,33
infelizmente,33
difícil,33
nome,33
governo,33
fiquei,33
acredito,33
ações,32
ontem,32
mandei,32
deu,32
assessoria,32
forma,32
melhores,32
receber,32
corretagem,32
diz,32
novamente,32
pessoa,32
cdb,31
