dataPublicada,autor,texto,sentimento,tipoInteracao,anomalia,probabilidadeAnomalia,linkPost,processado,contemHyperlink,Frases_sem_stop_words
"""2022-03-04 08:36:00""",lmviapiana,Minuto touro de ouro,POSITIVE,comentário,0,38,https://www.instagram.com/p/CapXhB5Lvas/#17977642972492673,0,0,"['Minuto', 'touro', 'ouro']"
"""2022-03-03 21:10:00""",vanilson_dos,@ricktolledo Sim,NEUTRAL,resposta,0,17,https://www.instagram.com/p/CapXhB5Lvas/#17842365959748003,0,0,"['@', 'ricktolledo', 'Sim']"
"""2022-03-03 20:54:00""",ricktolledo,Queria saber se a Btg banking é a própria btg que administra?,POSITIVE,comentário,0,20,https://www.instagram.com/p/CapXhB5Lvas/#17935401550894179,0,0,"['Queria', 'saber', 'Btg', 'banking', 'própria', 'btg', 'administra', '?']"
"""2022-03-03 18:56:00""",claudiofalavinha,@thaotinhasbfc,NEUTRAL,comentário,0,41,https://www.instagram.com/p/CapXhB5Lvas/#17942631190854229,0,0,"['@', 'thaotinhasbfc']"
"""2022-03-03 16:11:00""",paularodrigues.invest,👏👏👏👏,NEUTRAL,comentário,0,15,https://www.instagram.com/p/CaptWrtOT8U/#17943730294870211,0,0,['👏👏👏👏']
"""2022-03-03 15:35:00""",rafael_miller,Vamos ajudar o Brasil na principal categoria de automobilismo do mundo.  @ambev @xpinvestimentos @havanoficial @bancodobrasil @clarobrasi @nubank @itau @santander @btgpactual @wegelectric,POSITIVE,comentário,0,41,https://www.instagram.com/p/CapoqJ3Ne7a/#17972149969518787,0,0,"['Vamos', 'ajudar', 'Brasil', 'principal', 'categoria', 'automobilismo', 'mundo', '.', '@', 'ambev', '@', 'xpinvestimentos', '@', 'havanoficial', '@', 'bancodobrasil', '@', 'clarobrasi', '@', 'nubank', '@', 'itau', '@', 'santander', '@', 'btgpactual', '@', 'wegelectric']"
"""2022-03-03 15:31:00""",ledmello,Com tanta conta digital dando baile nestes bancos pq raios continuam no Itaú??? Hora de dar Adeus!! Escolha um @nubank  @c6bank @bancointer @btgpactual  e seja feliz 🥰 Adeus 👋 @i@itaufoi ruim desde sempre e nunca vai mudar,NEGATIVE,comentário,1,100,https://www.instagram.com/p/CaprkDfJpIR/#17859633374695029,0,1,"['tanta', 'conta', 'digital', 'dando', 'baile', 'nestes', 'bancos', 'pq', 'raios', 'continuam', 'Itaú', '?', '?', '?', 'Hora', 'dar', 'Adeus', '!', '!', 'Escolha', '@', 'nubank', '@', 'c6bank', '@', 'bancointer', '@', 'btgpactual', 'feliz', '🥰', 'Adeus', '👋', '@', 'i', '@', 'itaufoi', 'ruim', 'desde', 'sempre', 'nunca', 'vai', 'mudar']"
"""2022-03-03 14:35:00""",glairtonjtm,"@hericles.sisnando o Instagram só deixa publicar 10 imagens por post, então não conseguiram colacar as de DY. Tem que reorganizar o layout e postar uma por imagem fica a dica para a galera do @btgpactual",NEUTRAL,resposta,0,46,https://www.instagram.com/p/CapXhB5Lvas/#17941438309785214,0,0,"['@', 'hericles.sisnando', 'Instagram', 'deixa', 'publicar', '10', 'imagens', 'post', ',', 'então', 'conseguiram', 'colacar', 'DY', '.', 'reorganizar', 'layout', 'postar', 'imagem', 'fica', 'dica', 'galera', '@', 'btgpactual']"
"""2022-03-03 14:01:00""",hericles.sisnando,Cadê a de dividendos? 😢,NEGATIVE,comentário,0,36,https://www.instagram.com/p/CapXhB5Lvas/#18184456978165062,0,0,"['Cadê', 'dividendos', '?', '😢']"
"""2022-03-03 13:01:00""",nilcosfred,Estou aqui apenas para mostrar meu apreço à mulher que me levou de zero a herói.  Estou muito feliz por estar entre sua equipe vencedora e sempre mostrarei minha gratidão e trabalharei com você sempre @_marcia_fx,POSITIVE,comentário,0,47,https://www.instagram.com/p/CapXhB5Lvas/#17953128634680520,0,0,"['aqui', 'apenas', 'mostrar', 'apreço', 'mulher', 'levou', 'zero', 'herói', '.', 'feliz', 'equipe', 'vencedora', 'sempre', 'mostrarei', 'gratidão', 'trabalharei', 'sempre', '@', '_marcia_fx']"
