dataPublicada,autor,texto,sentimento,tipoInteracao,anomalia,probabilidadeAnomalia,linkPost,processado,contemHyperlink,texto_e_palavra,texto_tokenizado,sentimento_revisto
"""2022-03-04 08:36:00""",lmviapiana,Minuto touro de ouro,POSITIVE,comentário,0,38,https://www.instagram.com/p/CapXhB5Lvas/#17977642972492673,0,0,Minuto touro de ouro,"['minuto', 'touro', 'ouro']",1.0
"""2022-03-03 21:10:00""",vanilson_dos,@ricktolledo Sim,NEUTRAL,resposta,0,17,https://www.instagram.com/p/CapXhB5Lvas/#17842365959748003,0,0,@ricktolledo Sim,['sim'],0.0
"""2022-03-03 20:54:00""",ricktolledo,Queria saber se a Btg banking é a própria btg que administra?,POSITIVE,comentário,0,20,https://www.instagram.com/p/CapXhB5Lvas/#17935401550894179,0,0,Queria saber se a Btg banking é a própria btg que administra?,"['queria', 'saber', 'banking']",1.0
"""2022-03-03 16:11:00""",paularodrigues.invest,👏👏👏👏,NEUTRAL,comentário,0,15,https://www.instagram.com/p/CaptWrtOT8U/#17943730294870211,0,0,palmas palmas palmas palmas ,"['palmas', 'palmas', 'palmas', 'palmas']",1.0
"""2022-03-03 15:35:00""",rafael_miller,Vamos ajudar o Brasil na principal categoria de automobilismo do mundo.  @ambev @xpinvestimentos @havanoficial @bancodobrasil @clarobrasi @nubank @itau @santander @btgpactual @wegelectric,POSITIVE,comentário,0,41,https://www.instagram.com/p/CapoqJ3Ne7a/#17972149969518787,0,0,Vamos ajudar o Brasil na principal categoria de automobilismo do mundo.  @ambev @xpinvestimentos @havanoficial @bancodobrasil @clarobrasi @nubank @itau @santander @btgpactual @wegelectric,"['vamos', 'ajudar', 'brasil', 'principal', 'categoria', 'automobilismo', 'do']",-1.0
"""2022-03-03 15:31:00""",ledmello,Com tanta conta digital dando baile nestes bancos pq raios continuam no Itaú??? Hora de dar Adeus!! Escolha um @nubank  @c6bank @bancointer @btgpactual  e seja feliz 🥰 Adeus 👋 @i@itaufoi ruim desde sempre e nunca vai mudar,NEGATIVE,comentário,1,100,https://www.instagram.com/p/CaprkDfJpIR/#17859633374695029,0,1,Com tanta conta digital dando baile nestes bancos pq raios continuam no Itaú??? Hora de dar Adeus!! Escolha um @nubank  @c6bank @bancointer @btgpactual  e seja feliz carinhaComCoração  Adeus 👋 @i@itaufoi ruim desde sempre e nunca vai mudar,"['tanta', 'conta', 'digital', 'dando', 'baile', 'bancos', 'raios', 'continuam', 'hora', 'dar', 'escolha', 'feliz', 'carinhacomcoração', 'adeus', 'ruim', 'desde', 'sempre', 'nunca', 'vai', 'mudar']",0.0
"""2022-03-03 14:35:00""",glairtonjtm,"@hericles.sisnando o Instagram só deixa publicar 10 imagens por post, então não conseguiram colacar as de DY. Tem que reorganizar o layout e postar uma por imagem fica a dica para a galera do @btgpactual",NEUTRAL,resposta,0,46,https://www.instagram.com/p/CapXhB5Lvas/#17941438309785214,0,0,"@hericles.sisnando o Instagram só deixa publicar 10 imagens por post, então não conseguiram colacar as de DY. Tem que reorganizar o layout e postar uma por imagem fica a dica para a galera do @btgpactual","['instagram', 'deixa', 'publicar', 'imagens', 'então', 'não', 'conseguiram', 'colacar', 'reorganizar', 'layout', 'postar', 'imagem', 'fica', 'dica', 'galera', 'do']",-1.0
"""2022-03-03 14:01:00""",hericles.sisnando,Cadê a de dividendos? 😢,NEGATIVE,comentário,0,36,https://www.instagram.com/p/CapXhB5Lvas/#18184456978165062,0,0,Cadê a de dividendos? decepcionado_mas_aliviado ,['cadê'],0.0
"""2022-03-03 13:01:00""",nilcosfred,Estou aqui apenas para mostrar meu apreço à mulher que me levou de zero a herói.  Estou muito feliz por estar entre sua equipe vencedora e sempre mostrarei minha gratidão e trabalharei com você sempre @_marcia_fx,POSITIVE,comentário,0,47,https://www.instagram.com/p/CapXhB5Lvas/#17953128634680520,0,0,Estou aqui apenas para mostrar meu apreço à mulher que me levou de zero a herói.  Estou muito feliz por estar entre sua equipe vencedora e sempre mostrarei minha gratidão e trabalharei com você sempre @_marcia_fx,"['apenas', 'mostrar', 'apreço', 'mulher', 'levou', 'zero', 'muito', 'feliz', 'entre', 'equipe', 'vencedora', 'sempre', 'mostrarei', 'gratidão', 'trabalharei', 'você', 'sempre']",1.0
"""2022-03-03 12:34:00""",matheusfiis,💙🚀,NEUTRAL,comentário,0,15,https://www.instagram.com/p/CapXhB5Lvas/#17926096268158628,0,0,coração azul foguete ,"['coração', 'azul', 'foguete']",-1.0
"""2022-03-03 10:15:00""",maos_a_obraimoveis,Eita que não existe ninguém pra responder nem no direct uma simples pergunta que pode melhorar até mesmo pra vcs do Btg. Estou fazendo uma pergunta e vcs estão fazendo vistas grossas comigo. Eu preciso de uma resposta pois o negócio pode ficar sério.,NEGATIVE,comentário,0,13,https://www.instagram.com/p/CahbUK6O3gZ/#18281117611047043,0,0,Eita que não existe ninguém pra responder nem no direct uma simples pergunta que pode melhorar até mesmo pra vcs do Btg. Estou fazendo uma pergunta e vcs estão fazendo vistas grossas comigo. Eu preciso de uma resposta pois o negócio pode ficar sério.,"['eita', 'não', 'existe', 'responder', 'direct', 'simples', 'pergunta', 'pode', 'melhorar', 'até', 'do', 'fazendo', 'pergunta', 'fazendo', 'vistas', 'grossas', 'preciso', 'resposta', 'negócio', 'pode', 'ficar']",0.0
"""2022-03-03 10:15:00""",maos_a_obraimoveis,Eu mandei pergunta no privado e vcs não me responde e pelo jeito vou ter que falar tudo por aqui.,NEGATIVE,comentário,0,19,https://www.instagram.com/p/CahbUK6O3gZ/#17974482097507769,0,0,Eu mandei pergunta no privado e vcs não me responde e pelo jeito vou ter que falar tudo por aqui.,"['mandei', 'pergunta', 'privado', 'não', 'responde', 'jeito', 'vou', 'falar', 'tudo']",0.0
"""2022-03-03 09:35:00""",drpvcastro,Como alocar  valor nessa nova atualização,NEUTRAL,comentário,0,24,https://www.instagram.com/p/CahbUK6O3gZ/#17957077189626630,0,0,Como alocar  valor nessa nova atualização,"['alocar', 'valor', 'nova', 'atualização']",1.0
"""2022-03-03 00:33:00""",mirna_economirna,"@elson.linss eu recomendo o maior banco de investimentos da América Latina, o @btgpactual 🤩",POSITIVE,comentário,1,60,https://www.instagram.com/p/Cang-DGJ6cs/#17897440862537092,0,0,"@elson.linss eu recomendo o maior banco de investimentos da América Latina, o @btgpactual maravilhado ","['recomendo', 'maior', 'investimentos', 'da', 'américa', 'maravilhado']",0.0
"""2022-03-02 20:39:00""",cilassousa_oficial,Disciplina,NEUTRAL,comentário,0,20,https://www.instagram.com/p/CZo53ykNAN7/#17936405323874018,0,0,Disciplina,['disciplina'],0.0
"""2022-03-02 20:02:00""",helder.aai,@gwm.investments e @btgpactual muito alinhados!,POSITIVE,comentário,0,29,https://www.instagram.com/tv/CaninRWl6aP/#18282195139061655,0,0,@gwm.investments e @btgpactual muito alinhados!,['muito'],0.0
"""2022-03-02 10:58:00""",millafischer,Qual horário especial de quarta?,NEUTRAL,comentário,0,18,https://www.instagram.com/p/CahbUK6O3gZ/#17977790857491720,0,0,Qual horário especial de quarta?,"['horário', 'especial']",1.0
"""2022-03-01 23:32:00""",vanebraido,@btgpactual cade meu informe no app?,NEUTRAL,comentário,0,19,https://www.instagram.com/p/CahbUK6O3gZ/#17938653586836300,0,0,@btgpactual cade meu informe no app?,"['cade', 'informe']",1.0
"""2022-03-01 21:54:00""",gustavopaulinno,"Gosto demais do BTG, banco de confiança e sempre inovando👏👏",POSITIVE,comentário,0,9,https://www.instagram.com/p/CaR1j2TuPpD/#17914683365221503,0,0,"Gosto demais do BTG, banco de confiança e sempre inovandopalmas palmas ","['gosto', 'demais', 'do', 'confiança', 'sempre', 'inovandopalmas', 'palmas']",1.0
"""2022-03-01 17:18:00""",mirna_economirna,@btgpactual 🚀,NEUTRAL,comentário,0,34,https://www.instagram.com/p/CR7RLClMs4Q/#17917054670182701,0,0,@btgpactual foguete ,['foguete'],-1.0
"""2022-03-01 04:31:00""",camilaagueda2,"Personalidade incrível com grandes qualidades de liderança @Lelitunse Eu acreditei nas mãos dela e o sucesso a seguiu.  Inicialmente, depositei $4.000 e em alguns dias recebi $40.400.  Sua credibilidade não pode ser esquecida",POSITIVE,comentário,1,63,https://www.instagram.com/p/CahbUK6O3gZ/#18167150719204899,0,0,"Personalidade incrível com grandes qualidades de liderança @Lelitunse Eu acreditei nas mãos dela e o sucesso a seguiu.  Inicialmente, depositei $4.000 e em alguns dias recebi $40.400.  Sua credibilidade não pode ser esquecida","['personalidade', 'incrível', 'grandes', 'qualidades', 'liderança', 'acreditei', 'mãos', 'sucesso', 'depositei', 'dias', 'recebi', 'credibilidade', 'não', 'pode', 'esquecida']",1.0
"""2022-02-28 20:06:00""",gugaxinv,Triste demais! 😢,POSITIVE,comentário,0,19,https://www.instagram.com/p/CahbUK6O3gZ/#18156228478228084,0,0,Triste demais! decepcionado_mas_aliviado ,['triste'],-1.0
"""2022-02-28 19:30:00""",tatafelizardo,@btgpactual poderiam ajudar? Obrigada,NEUTRAL,comentário,0,32,https://www.instagram.com/p/CaiRDhtOSze/#18204251998177025,0,0,@btgpactual poderiam ajudar? Obrigada,"['poderiam', 'obrigada']",1.0
"""2022-02-28 14:54:00""",henriquefull,Feriado cancelado mesmo assim bovegas fechada..... Q povo trabalhador😂,NEGATIVE,comentário,0,30,https://www.instagram.com/p/CahbUK6O3gZ/#17902322549418773,0,0,Feriado cancelado mesmo assim bovegas fechada..... Q povo trabalhadormuitoEngraçado ,"['feriado', 'cancelado', 'assim', 'bovegas', 'povo', 'trabalhadormuitoengraçado']",0.0
"""2022-02-28 12:09:00""",almada76,Provavelmente você investe em algum fundo imobiliário gerido por eles.,POSITIVE,resposta,0,27,https://www.instagram.com/p/CahbUK6O3gZ/#18288562063048523,0,0,Provavelmente você investe em algum fundo imobiliário gerido por eles.,"['provavelmente', 'você', 'investe', 'fundo', 'imobiliário', 'gerido']",-1.0
"""2022-02-28 12:09:00""",almada76,É que eles criaram uma página só para investidores,NEGATIVE,resposta,0,31,https://www.instagram.com/p/CahbUK6O3gZ/#17960609452556794,0,0,É que eles criaram uma página só para investidores,"['criaram', 'página', 'investidores']",-1.0
"""2022-02-28 11:56:00""",viniciuszica,"Estou recebendo e-mails de vocês de boas-vindas e informe de rendimentos, mas nunca abri uma conta. Como consigo verificar essa situação?",NEGATIVE,comentário,0,25,https://www.instagram.com/p/CahbUK6O3gZ/#17862804383650667,0,0,"Estou recebendo e-mails de vocês de boas-vindas e informe de rendimentos, mas nunca abri uma conta. Como consigo verificar essa situação?","['recebendo', 'informe', 'nunca', 'abri', 'consigo', 'verificar', 'essa']",-1.0
"""2022-02-28 10:46:00""",zbrun_rj,Vcs não respondem no direct? Mds.,NEUTRAL,comentário,0,25,https://www.instagram.com/p/CahbUK6O3gZ/#17931011888045902,0,0,Vcs não respondem no direct? Mds.,"['não', 'respondem']",1.0
"""2022-02-28 10:29:00""",luizc.guedes,"Informações corretas dá credibilidade, tem ter cuidado",NEGATIVE,comentário,0,29,https://www.instagram.com/p/CahbUK6O3gZ/#18126650719262343,0,0,"Informações corretas dá credibilidade, tem ter cuidado","['informações', 'corretas', 'dá', 'cuidado']",1.0
