Frase,Vetor1,Vetor2,Vetor3,Vetor4,Vetor5,Vetor6,Vetor7,Vetor8,Vetor9,Vetor10,Vetor11,Vetor12,Vetor13,Vetor14,Vetor15,Vetor16,Vetor17,Vetor18,Vetor19,Vetor20,Vetor21,Vetor22,Vetor23,Vetor24,Vetor25,Vetor26,Vetor27,Vetor28,Vetor29,Vetor30,Vetor31,Vetor32,Vetor33,Vetor34,Vetor35,Vetor36,Vetor37,Vetor38,Vetor39,Vetor40,Vetor41,Vetor42,Vetor43,Vetor44,Vetor45,Vetor46,Vetor47,Vetor48,Vetor49,Vetor50,sentimento
"['minuto', 'touro', 'ouro']",0.19411148,-0.08616343,0.15057628,-0.034732595,-0.066785805,0.12246976,0.02789325,0.064955875,0.0057283593,0.13592531,0.0378492,-0.10316389,0.047921505,0.099546045,0.12771054,-0.015934477,-0.036954116,-0.11620931,-0.02565752,-0.0071266317,0.04672272,-0.1337037,-0.21678786,-0.040609278,0.047608715,0.030448839,0.09066067,0.043151554,-0.026447963,0.07713746,0.0007557182,0.15295492,-0.16430356,-0.001460241,-0.01810568,-0.027146041,0.021044478,0.13087593,-0.0072200405,-0.09455364,-0.1614899,0.04664952,-0.14214188,0.13111496,0.063196205,0.025212603,0.09467148,-0.0017485619,-0.0024278401,0.26336455,1
['sim'],0.109873295,-0.062076,0.18726787,-0.213734,0.046349857,0.11845158,-0.025576849,-0.14970414,0.14383714,0.18481371,-0.13823058,-0.0061108577,0.02301085,0.086357854,0.056430288,-0.06783671,-0.09228343,-0.18788998,-0.13514186,-0.20400499,0.11889856,-0.101357,-0.13340943,0.019375715,0.13967471,-0.017797569,0.12566128,-0.071393006,0.034713138,0.108910576,0.04115086,0.09556,-0.282985,-0.059898283,0.04764957,-0.120854855,0.05504256,0.017012572,-0.043989144,0.026103279,-0.31411186,0.031963,-0.051878713,0.2353287,-0.005905143,0.00018227978,-0.02956957,-0.064395,-0.025853276,0.18535744,0
"['queria', 'saber', 'banking', 'própria']",0.12134242,-0.18390284,0.2680509,-0.03126486,0.0030710523,0.19932275,-0.008417104,0.046410233,0.046310607,0.069435365,0.004925681,-0.088092975,-0.09746032,0.099533945,0.09169573,0.016750704,-0.07149547,-0.13583682,0.06378221,-0.020994997,0.0026543622,-0.11774033,-0.19210464,-0.04334734,-0.042304553,-0.011749712,0.08248943,0.04401818,-0.0896116,0.12232095,0.18465133,0.13051207,-0.083719656,0.0009653717,-0.055561606,-0.029900212,0.0043439977,0.07900829,0.020756712,-0.038635816,-0.20706779,0.029866103,-0.07688143,0.14636146,0.077991694,-0.022279024,0.108679056,-0.06851928,-0.027489578,0.13048509,1
"['palmas', 'palmas', 'palmas', 'palmas']",0.21518572,-0.09270147,0.25457892,-0.08371408,0.09987695,0.37123257,0.05038678,-0.1275684,0.11861976,0.12969907,-0.119689286,0.009323676,0.09914835,0.18544121,-0.02353497,-0.009745757,-0.137474,-0.15321417,0.05170726,-0.06533357,-0.011282519,-0.27041855,-0.19534414,-0.014747271,0.04530248,-0.008375514,0.039269973,-0.035441056,-0.062033925,0.04227924,0.090907894,0.082595564,-0.1704697,0.015749032,0.052039083,-0.1519129,0.13328171,0.02559672,-0.06754834,0.18339606,-0.31063226,-0.090724394,0.021903217,0.22191052,0.07289009,0.11957295,-0.004306594,-0.091760255,0.027265897,0.14453076,0
"['vamos', 'ajudar', 'brasil', 'principal', 'categoria', 'automobilismo']",0.20800172,-0.11928298,0.21940629,-0.040020756,0.008185508,0.21127178,0.019965347,0.025390925,0.058953304,0.116330475,0.0002817743,-0.07629549,0.029022017,0.16237614,0.08283554,0.02868408,-0.054771226,-0.15573758,0.020827835,-0.03536716,0.03454546,-0.16609287,-0.23019904,-0.011616732,-0.05120278,-0.050110746,0.0911561,-0.0007261365,-0.0493572,0.09716914,0.08374588,0.09159723,-0.14799865,0.031535726,-0.06250729,-0.055543955,0.061113015,0.09103763,-0.012047597,0.037142042,-0.2773146,-0.018089922,-0.062189735,0.15971486,0.07484369,0.0025528662,0.096084364,-0.036452472,0.0034838982,0.14766234,1
"['tanta', 'conta', 'digital', 'dando', 'baile', 'nestes', 'bancos', 'raios', 'continuam', 'hora', 'dar', 'escolha', 'feliz', 'carinhacomcoração', 'adeus', 'ruim', 'desde', 'sempre', 'nunca', 'vai', 'mudar']",0.16489273,-0.12469436,0.1749729,-0.06570578,0.0095754685,0.15379204,0.014328067,0.0044491007,0.0507504,0.100087866,-0.007212105,-0.0563632,-0.015670639,0.1254229,0.09314401,0.022009583,-0.059367206,-0.1481194,0.05828359,-0.005986035,0.051003564,-0.13174291,-0.18493357,-0.014984898,-0.03542496,-0.06697319,0.091986485,0.0012027852,-0.054507706,0.10393222,0.08789679,0.107049815,-0.11769491,0.023118906,-0.0691987,-0.010825555,0.03129982,0.08377281,-0.0033528488,-0.012237611,-0.23868246,0.01107477,-0.060413413,0.13499397,0.08402317,0.0041293064,0.11424787,-0.016011816,0.022348098,0.14402094,-1
"['instagram', 'deixa', 'publicar', 'imagens', 'então', 'conseguiram', 'colacar', 'reorganizar', 'layout', 'postar', 'imagem', 'fica', 'dica', 'galera']",0.1834833,-0.119852744,0.20383042,-0.06871833,0.011466935,0.17926161,0.023413666,0.0010837659,0.047062837,0.10643297,-0.0032784077,-0.063498214,-0.0009528145,0.13197291,0.07595469,0.015378905,-0.056932732,-0.1330585,0.051175077,-0.04403248,0.055752467,-0.13675204,-0.19630863,-0.017428935,-0.035938665,-0.05307631,0.075929254,0.0011533324,-0.07385116,0.10579038,0.09487884,0.119186744,-0.12806544,0.028120015,-0.062315155,-0.026058353,0.049528044,0.08966084,0.0011294154,0.0049031307,-0.24123476,-0.01636154,-0.065269336,0.12643479,0.094195016,0.026623132,0.09318593,-0.041270845,0.019580273,0.15631318,0
['cadê'],0.06334762,-0.17290112,0.15109526,-0.021335999,0.06200613,0.12575625,-0.044293374,-0.037105627,0.06317901,0.01961788,0.003703,-0.028794752,-0.08545387,-0.017028123,0.14591037,0.10880826,-0.14086948,-0.16792199,-0.03387925,-0.12208663,0.003315499,-0.21157739,-0.09860188,-0.022365998,0.012149122,-0.009546876,0.12698025,0.03453087,-0.129522,0.119882874,0.11974512,0.013194995,-0.07426563,0.048739124,-0.013946375,0.040350873,-0.025616124,0.013313876,-0.07826063,-0.04185438,-0.16640876,0.026549624,0.07035,0.06878562,-0.034940623,0.035760373,0.13041563,-0.05215337,0.049334258,0.10140163,-1
"['aqui', 'apenas', 'mostrar', 'apreço', 'mulher', 'levou', 'zero', 'feliz', 'equipe', 'vencedora', 'sempre', 'mostrarei', 'gratidão', 'trabalharei', 'sempre']",0.16931947,-0.12898096,0.22372097,-0.049059834,0.014126007,0.20484658,0.021471135,0.014949333,0.03119869,0.106052205,0.0059260684,-0.04698323,0.0024268602,0.10331043,0.050147608,0.0013038049,-0.054027848,-0.12462167,0.0548803,-0.026459292,0.025330788,-0.12606327,-0.18829358,-0.039709046,-0.018415455,-0.046461787,0.049111363,0.01787571,-0.04570115,0.08213313,0.119813114,0.100994356,-0.13776141,-0.00013224821,-0.04233858,-0.038486574,0.020390883,0.082568936,-0.0049928036,-0.013157502,-0.18775934,0.0013338681,-0.07605182,0.14993943,0.10055447,0.0025492972,0.08538857,-0.052438714,-0.016630836,0.14971095,1
"['coração', 'azul', 'foguete']",0.19157304,-0.09380984,0.14795339,-0.0009015383,0.006785179,0.14814867,0.031341076,0.004851609,-0.041723248,0.10965986,0.026072638,-0.03720575,-0.0006451788,0.097957365,0.07086622,0.047573112,-0.060822636,-0.09979346,0.026972184,-0.030796245,0.05357207,-0.16280521,-0.13259855,-0.03848968,0.027572175,0.0003643217,0.05083677,0.03430861,-0.05085561,0.08897849,0.050314646,0.15271719,-0.102070406,0.024905395,-0.04955635,0.024555463,0.0010905016,0.116489,-0.02538525,-0.050031282,-0.18791625,-0.028490786,-0.029152928,0.11209651,0.07284944,0.06452124,0.07578595,-0.028263533,-0.028298464,0.19074725,0
