Frase,Vetor1,Vetor2,Vetor3,Vetor4,Vetor5,Vetor6,Vetor7,Vetor8,Vetor9,Vetor10,Vetor11,Vetor12,Vetor13,Vetor14,Vetor15,Vetor16,Vetor17,Vetor18,Vetor19,Vetor20,Vetor21,Vetor22,Vetor23,Vetor24,Vetor25,Vetor26,Vetor27,Vetor28,Vetor29,Vetor30,Vetor31,Vetor32,Vetor33,Vetor34,Vetor35,Vetor36,Vetor37,Vetor38,Vetor39,Vetor40,Vetor41,Vetor42,Vetor43,Vetor44,Vetor45,Vetor46,Vetor47,Vetor48,Vetor49,Vetor50,sentimento
"['minuto', 'touro', 'ouro']",0.29325888,-0.55409336,-0.14346905,-0.28618032,-0.12045605,0.0685099,-0.014214673,-0.07982999,0.16049212,-0.11506843,-0.3456158,0.31338823,-0.035934083,-0.010539079,-0.2587791,0.104326785,-0.38045743,-0.4137194,0.6661292,0.8331908,-0.2114142,-0.14603847,-0.8270762,0.074830405,0.027175339,-0.24313,0.369306,-0.19295427,0.2880211,0.13426527,-0.1473924,0.261515,-0.44964516,0.19127451,0.13639046,-0.0015541249,-0.30069184,0.068946995,0.4061296,0.19872807,0.17998485,-0.042688336,0.23682041,-0.15929498,-0.010739184,0.009440153,0.15421988,0.09820207,-0.03270746,-0.13312955,1
['sim'],0.35023737,-0.291126,-0.13290505,-0.09213167,0.20029743,0.09756625,0.13166109,-0.09877614,0.02825689,0.027593791,-0.24355347,0.15168034,0.20760038,0.0434177,0.03884026,-0.004847525,-0.31834096,-0.1562837,0.4605796,0.8643302,-0.15924989,-0.29103425,-0.7530545,-0.24709739,0.08405782,-0.403102,0.3299408,-0.018153736,0.23591743,0.019378696,-0.1452161,0.113782585,-0.4577575,0.27383223,0.09554428,-0.065818,-0.31478238,0.17035882,0.4464362,0.1286927,0.017692199,0.036274888,0.22946794,0.017324554,-0.048553724,0.24067612,0.2259862,0.04944196,0.014347966,-0.013148298,0
"['queria', 'saber', 'banking', 'própria']",0.2722958,-0.34711596,-0.11765993,-0.1419038,-0.04026179,0.053342994,0.007840304,-0.04681868,0.10075697,-0.03199868,-0.25210673,0.2656056,0.027231552,-0.011930549,-0.18618067,-0.0032016376,-0.3029884,-0.32454005,0.53840786,0.82754284,-0.23628868,-0.15623519,-0.71422535,-0.04749868,0.035774525,-0.31494996,0.33439335,-0.054831028,0.21191092,0.13326317,-0.12708776,0.117055245,-0.36525473,0.16699947,0.05564126,-0.047337577,-0.31299892,0.13086124,0.38578263,0.17293757,0.093648426,-0.02342961,0.16532615,-0.035452086,0.019753661,0.0673132,0.11735039,0.033811085,-0.071498826,-0.119190894,1
"['palmas', 'palmas', 'palmas', 'palmas']",0.17164718,-0.08210858,-0.115455404,-0.101364754,0.24189536,0.08511714,0.09462373,-0.0896769,0.012292666,0.12274506,-0.15267357,0.1293443,0.20150372,-0.04556518,0.066269,-0.11461224,-0.19539385,-0.056783207,0.2269654,0.7324084,-0.23608255,-0.306938,-0.6173009,-0.27566463,-0.051287334,-0.39271837,0.3554432,-0.0044985246,0.1800096,0.012865333,-0.069723874,0.022209462,-0.42179188,0.29208866,0.07678961,-0.09885581,-0.19152161,0.15289114,0.39447585,0.2013832,0.0907801,-0.03080589,0.24052906,0.050675232,0.008869617,0.2616816,0.28323478,-0.05148862,-0.016280295,-0.07724303,0
"['vamos', 'ajudar', 'brasil', 'principal', 'categoria', 'automobilismo']",0.25157624,-0.32588646,-0.10953277,-0.18263806,-0.0031349552,0.0662398,0.029113667,-0.09548964,0.11085601,-0.04040877,-0.22786297,0.26482132,0.034435075,-0.06342329,-0.13764822,-0.027356144,-0.29022604,-0.31807452,0.49845445,0.7890104,-0.24643005,-0.17774703,-0.6899555,-0.052259758,-0.0074173342,-0.31069404,0.32418278,-0.06726633,0.23598488,0.12475167,-0.16615091,0.14980473,-0.3715412,0.23051374,0.092714295,-0.08415739,-0.31583613,0.123266354,0.40040332,0.21047944,0.11451965,-0.024870787,0.21583213,-0.042172387,-0.009843251,0.066513024,0.19324262,0.03671101,-0.07912118,-0.10810131,1
"['tanta', 'conta', 'digital', 'dando', 'baile', 'nestes', 'bancos', 'raios', 'continuam', 'hora', 'dar', 'escolha', 'feliz', 'carinhacomcoração', 'adeus', 'ruim', 'desde', 'sempre', 'nunca', 'vai', 'mudar']",0.30154672,-0.4075357,-0.12753545,-0.20322214,-0.049939495,0.062058385,0.044252716,-0.070111446,0.13897851,-0.09099845,-0.2595465,0.2861561,0.029166138,-0.054148342,-0.18974946,0.03153443,-0.34268492,-0.33784625,0.5987771,0.842842,-0.22204535,-0.16804828,-0.7601319,-0.00743808,0.036585707,-0.32721716,0.3472516,-0.09124785,0.24481924,0.124940634,-0.17955801,0.2152321,-0.37719446,0.21118142,0.10367971,-0.083182566,-0.32442617,0.12739818,0.43111032,0.21294607,0.10800608,-0.010157243,0.21749075,-0.09822426,-0.012810597,0.033073876,0.19974357,0.07651594,-0.07847267,-0.10828601,-1
"['instagram', 'deixa', 'publicar', 'imagens', 'então', 'conseguiram', 'colacar', 'reorganizar', 'layout', 'postar', 'imagem', 'fica', 'dica', 'galera']",0.29519036,-0.34913728,-0.14208575,-0.18036705,-0.036664233,0.06975808,0.050426647,-0.084150255,0.12672561,-0.06777911,-0.25905505,0.29538447,0.030416802,-0.07546538,-0.16788127,0.01918192,-0.32154438,-0.31676966,0.5611967,0.8093123,-0.22414601,-0.17053434,-0.74345934,-0.031109996,0.016706862,-0.32104063,0.30745822,-0.08709905,0.24708612,0.13756776,-0.19723283,0.19610268,-0.36409336,0.22975387,0.085177645,-0.044930022,-0.33523336,0.13490936,0.4116699,0.19115777,0.10498934,0.0019834533,0.22886403,-0.06665704,-0.028589668,0.040796243,0.20200655,0.057681993,-0.0660988,-0.106960356,0
['cadê'],0.267082,-0.3128326,-0.056836057,-0.22633733,0.036155254,0.063353494,0.14759803,-0.06823218,0.12683086,-0.16984364,-0.18970445,0.1080562,0.08315359,-0.065113254,-0.11683658,-0.019905755,-0.25167757,-0.25766206,0.51607645,0.72990113,-0.10527239,-0.16656668,-0.5679208,0.0022292845,-0.0035229987,-0.30359292,0.27633312,-0.04967861,0.2509604,0.08724338,-0.18731087,0.19303098,-0.36305815,0.15308388,0.07216956,-0.067303024,-0.3003543,0.103141055,0.36922956,0.14761555,0.08806078,0.05719236,0.25450462,-0.050999418,-0.006573474,0.12707987,0.14089724,0.08273026,-0.045011275,-0.03291425,-1
"['aqui', 'apenas', 'mostrar', 'apreço', 'mulher', 'levou', 'zero', 'feliz', 'equipe', 'vencedora', 'sempre', 'mostrarei', 'gratidão', 'trabalharei', 'sempre']",0.2690189,-0.38044667,-0.1373737,-0.19898608,-0.027319927,0.07726415,0.040098164,-0.09323505,0.12618682,-0.049288966,-0.28127712,0.28482047,0.03582773,-0.057345983,-0.17107128,0.020538105,-0.34511238,-0.30428833,0.5579154,0.825713,-0.23283492,-0.15751566,-0.77560467,-2.1286593e-05,0.022700706,-0.3097044,0.33964518,-0.10239109,0.23799846,0.110657424,-0.16975333,0.2131229,-0.4035083,0.22431658,0.11020197,-0.09615586,-0.309166,0.120252006,0.41972607,0.20526949,0.10327876,-0.026672257,0.20674004,-0.09003282,-0.023512311,0.022206403,0.21132001,0.060549296,-0.0559167,-0.13558158,1
"['coração', 'azul', 'foguete']",0.24557537,-0.38950655,-0.13798206,-0.27911255,-0.14251441,0.028619349,0.08419287,-0.040735524,0.11868502,-0.12848541,-0.36450177,0.3101216,-0.025864685,-0.044580266,-0.26122668,0.14007238,-0.28715068,-0.23085167,0.5227992,0.6525029,-0.16881947,-0.12286816,-0.79898417,0.08982708,-0.03280268,-0.22822565,0.26350525,-0.21227746,0.27683887,0.123259515,-0.1572208,0.31657454,-0.4014505,0.15398537,0.13371666,0.014464368,-0.19106826,0.022518393,0.38462847,0.16849121,0.13536102,-0.03595412,0.27923462,-0.17020634,-0.020447785,-0.055403896,0.20765115,0.058622602,0.052918777,-0.15363011,0
