iter	MultiClass
0	1.064708353
1	1.035060818
2	1.011694995
3	0.9924720185
4	0.9741721496
5	0.9613818915
6	0.9489072875
7	0.9354847169
8	0.9248194376
9	0.9154005892
10	0.9074605938
11	0.900392818
12	0.892691391
13	0.8855224011
14	0.8778516692
15	0.8723413752
16	0.8666276135
17	0.8621634774
18	0.8584974689
19	0.8542673337
20	0.8494667031
21	0.8463412937
22	0.8431598332
23	0.8400929563
24	0.8369446284
25	0.8337335531
26	0.8306949065
27	0.8285514133
28	0.8262448304
29	0.8226003486
30	0.8197340138
31	0.817295997
32	0.814766198
33	0.8124405825
34	0.8098447641
35	0.8069432271
36	0.8051738031
37	0.8035818597
38	0.8013874012
39	0.7992162497
40	0.7979308825
41	0.7956240663
42	0.7939253128
43	0.7914824491
44	0.7888950413
45	0.7871402492
46	0.7846527305
47	0.7832185534
48	0.7819481612
49	0.7803594127
50	0.7790444787
51	0.7768119511
52	0.7758133166
53	0.7743559273
54	0.7728681662
55	0.7707863795
56	0.7693749413
57	0.767244592
58	0.7652414441
59	0.7631214752
60	0.7616193395
61	0.7606655143
62	0.7587101465
63	0.7575745593
64	0.7564051968
65	0.7546861392
66	0.7528235184
67	0.7510571315
68	0.7499569547
69	0.7489017809
70	0.7475097542
71	0.7460471081
72	0.7449383827
73	0.7436881766
74	0.742590273
75	0.7409930974
76	0.7400618912
77	0.7386621025
78	0.737607672
79	0.7366643394
80	0.7353092417
81	0.7336924456
82	0.7316640633
83	0.7305939754
84	0.7288942369
85	0.727751766
86	0.7261574139
87	0.7244640548
88	0.7236030854
89	0.7231736079
90	0.7216857445
91	0.7206586234
92	0.7188369474
93	0.7179333105
94	0.7170639478
95	0.7154866124
96	0.7141402771
97	0.7127882816
98	0.7110225298
99	0.7099371973
100	0.7079235046
101	0.7061198103
102	0.7053705414
103	0.7036413861
104	0.7020306449
105	0.6998281515
106	0.6989303217
107	0.6972228013
108	0.6955713208
109	0.6941027937
110	0.6931314588
111	0.6918883086
112	0.6904670009
113	0.6888441693
114	0.6877185603
115	0.6866135241
116	0.6850676791
117	0.6840325062
118	0.6823307044
119	0.6810038345
120	0.6796428699
121	0.6779138039
122	0.6770301646
123	0.6761586929
124	0.6743630341
125	0.6724157539
126	0.671510252
127	0.670319459
128	0.668984218
129	0.6672812254
130	0.6659238391
131	0.6643711754
132	0.6630842968
133	0.6614472908
134	0.6604038794
135	0.6588426469
136	0.6579755643
137	0.6563630861
138	0.6544029997
139	0.6533441845
140	0.6522169914
141	0.6516162231
142	0.6501662103
143	0.6484662081
144	0.6474181204
145	0.646029729
146	0.6447408012
147	0.6429776823
148	0.6416690116
149	0.6403811319
150	0.6391961336
151	0.6375880378
152	0.6361976045
153	0.6347738279
154	0.6334025401
155	0.6321630834
156	0.6306088384
157	0.6297208671
158	0.6282829256
159	0.62724962
160	0.6258171706
161	0.6248433232
162	0.6233871403
163	0.6225918264
164	0.6216919264
165	0.620311569
166	0.6190540354
167	0.6170170972
168	0.6155347409
169	0.6139812257
170	0.6120238178
171	0.6105570296
172	0.6090857862
173	0.6079987036
174	0.607023028
175	0.6055591852
176	0.6046698525
177	0.6037650604
178	0.6028309474
179	0.6015490729
180	0.599868624
181	0.5988715423
182	0.5982185141
183	0.5970923375
184	0.5962147342
185	0.5957105763
186	0.5943966311
187	0.5932996809
188	0.5920362981
189	0.5911591503
190	0.5899787412
191	0.5886132031
192	0.5878781048
193	0.5866500951
194	0.5850979516
195	0.5842477816
196	0.5831894776
197	0.582200735
198	0.5811858961
199	0.5801154301
