iter	Passed	Remaining
0	16	3208
1	30	3052
2	44	2946
3	59	2902
4	74	2888
5	89	2888
6	103	2840
7	116	2800
8	130	2773
9	144	2748
10	158	2723
11	172	2704
12	186	2684
13	200	2659
14	214	2644
15	229	2634
16	243	2622
17	259	2623
18	273	2605
19	287	2587
20	301	2571
21	316	2557
22	330	2540
23	344	2524
24	357	2504
25	371	2487
26	386	2473
27	402	2471
28	417	2463
29	433	2455
30	449	2452
31	465	2445
32	481	2436
33	496	2425
34	512	2417
35	528	2407
36	545	2404
37	561	2395
38	577	2384
39	592	2370
40	607	2356
41	623	2344
42	638	2330
43	653	2316
44	675	2325
45	689	2308
46	703	2290
47	719	2279
48	735	2267
49	750	2252
50	766	2238
51	782	2226
52	800	2221
53	818	2213
54	838	2210
55	861	2216
56	886	2223
57	912	2234
58	929	2220
59	948	2213
60	966	2203
61	985	2192
62	1002	2179
63	1017	2162
64	1033	2146
65	1049	2129
66	1064	2113
67	1080	2097
68	1097	2083
69	1114	2070
70	1131	2055
71	1147	2040
72	1164	2025
73	1180	2009
74	1194	1991
75	1208	1972
76	1223	1954
77	1243	1944
78	1260	1930
79	1278	1917
80	1295	1903
81	1314	1891
82	1332	1879
83	1349	1863
84	1368	1852
85	1386	1838
86	1405	1825
87	1424	1813
88	1442	1799
89	1461	1786
90	1479	1771
91	1494	1754
92	1510	1737
93	1527	1722
94	1547	1709
95	1562	1692
96	1577	1674
97	1592	1657
98	1608	1641
99	1623	1623
100	1638	1606
101	1654	1589
102	1669	1572
103	1685	1555
104	1702	1540
105	1721	1526
106	1737	1510
107	1755	1495
108	1775	1482
109	1793	1467
110	1808	1450
111	1824	1433
112	1840	1416
113	1856	1400
114	1871	1383
115	1887	1366
116	1903	1350
117	1919	1334
118	1942	1321
119	1965	1310
120	1989	1299
121	2006	1282
122	2022	1266
123	2040	1250
124	2059	1235
125	2077	1219
126	2095	1204
127	2115	1190
128	2134	1174
129	2151	1158
130	2167	1141
131	2184	1125
132	2201	1108
133	2217	1092
134	2232	1074
135	2247	1057
136	2261	1040
137	2277	1023
138	2293	1006
139	2310	990
140	2326	973
141	2343	957
142	2360	940
143	2377	924
144	2393	908
145	2412	892
146	2432	876
147	2448	860
148	2465	843
149	2481	827
150	2498	810
151	2515	794
152	2531	777
153	2546	760
154	2564	744
155	2579	727
156	2594	710
157	2612	694
158	2630	678
159	2645	661
160	2662	644
161	2677	628
162	2695	611
163	2710	595
164	2726	578
165	2742	561
166	2757	544
167	2777	528
168	2794	512
169	2812	496
170	2832	480
171	2851	464
172	2868	447
173	2886	431
174	2903	414
175	2921	398
176	2937	381
177	2952	364
178	2969	348
179	2985	331
180	3005	315
181	3027	299
182	3052	283
183	3070	266
184	3084	250
185	3100	233
186	3115	216
187	3133	199
188	3150	183
189	3169	166
190	3186	150
191	3204	133
192	3222	116
193	3239	100
194	3255	83
195	3272	66
196	3291	50
197	3307	33
198	3322	16
199	3338	0
